imdbID,Title,Year
6751668,Parasite,2019
1517268,Barbie,2023
7286456,Joker,2019
4633694,Spider-Man: Into the Spider-Verse,2018
0816692,Interstellar,2014
8946378,Knives Out,2019
1877830,The Batman,2022
0110912,Pulp Fiction,1994
5052448,Get Out,2017
8772262,Midsommar,2019
15398776,Oppenheimer,2023
0468569,The Dark Knight,2008
1375666,Inception,2010
9362722,Spider-Man: Across the Spider-Verse,2023
10872600,Spider-Man: No Way Home,2021
0120382,The Truman Show,1998
0993846,The Wolf of Wall Street,2013
0144084,American Psycho,2000
9764362,The Menu,2022
0245429,Spirited Away,2001
2267998,Gone Girl,2014
0081505,The Shining,1980
0338013,Eternal Sunshine of the Spotless Mind,2004
0361748,Inglourious Basterds,2009
11564570,Glass Onion,2022
4154756,Avengers: Infinity War,2018
4154796,Avengers: Endgame,2019
0114369,Se7en,1995
0109830,Forrest Gump,1994
0102926,The Silence of the Lambs,1991
3890160,Baby Driver,2017
1853728,Django Unchained,2012
1285016,The Social Network,2010
7784604,Hereditary,2018
1798709,Her,2013
0446029,Scott Pilgrim vs. the World,2010
1825683,Black Panther,2018
0133093,The Matrix,1999
1130884,Shutter Island,2010
0075314,Taxi Driver,1976
2015381,Guardians of the Galaxy,2014
0432283,Fantastic Mr. Fox,2009
2543164,Arrival,2016
1856101,Blade Runner 2049,2017
11286314,Don't Look Up,2021
0111161,The Shawshank Redemption,1994
0120737,The Lord of the Rings: The Fellowship of the Ring,2001
2380307,Coco,2017
0097165,Dead Poets Society,1989
1630029,Avatar: The Way of Water,2022
2250912,Spider-Man: Homecoming,2017
16419074,Air,2023
1740707,Troll Hunter,2010
0076759,Star Wars: Episode IV - A New Hope,1977
3501632,Thor: Ragnarok,2017
0099685,Goodfellas,1990
8579674,1917,2019
1049413,Up,2009
9419884,Doctor Strange in the Multiverse of Madness,2022
1392190,Mad Max: Fury Road,2015
1431045,Deadpool,2016
0910970,WALLÂ·E,2008
6320628,Spider-Man: Far from Home,2019
0119217,Good Will Hunting,1997
5013056,Dunkirk,2017
0499549,Avatar,2009
0449059,Little Miss Sunshine,2006
0304141,Harry Potter and the Prisoner of Azkaban,2004
0848228,The Avengers,2012
1392170,The Hunger Games,2012
0062622,2001: A Space Odyssey,1968
0477348,No Country for Old Men,2007
0241527,Harry Potter and the Sorcerer's Stone,2001
0117571,Scream,1996
1396484,It,2017
0080684,Star Wars: Episode V - The Empire Strikes Back,1980
0088847,The Breakfast Club,1985
1392214,Prisoners,2013
6644200,A Quiet Place,2018
6723592,Tenet,2020
3896198,Guardians of the Galaxy Vol. 2,2017
0377092,Mean Girls,2004
0145487,Spider-Man,2002
7653254,Marriage Story,2019
0371746,Iron Man,2008
0107290,Jurassic Park,1993
0114709,Toy Story,1995
1211837,Doctor Strange,2016
0443706,Zodiac,2007
3498820,Captain America: Civil War,2016
0167260,The Lord of the Rings: The Return of the King,2003
0317705,The Incredibles,2004
0327597,Coraline,2009
0126029,Shrek,2001
0078748,Alien,1979
1345836,The Dark Knight Rises,2012
0099785,Home Alone,1990
2488496,Star Wars: Episode VII - The Force Awakens,2015
16277242,Society of the Snow,2023
4116284,The Lego Batman Movie,2017
0840361,The Town,2010
14230458,Poor Things,2023
26047818,Anyone But You,2023
0137523,Fight Club,1999
0435761,Toy Story 3,2010
3606756,Incredibles 2,2018
0317219,Cars,2006
0120363,Toy Story 2,1999
0266543,Finding Nemo,2003
5537002,Killers of the Flower Moon,2023
0107048,Groundhog Day,1993
0327056,Mystic River,2003
9071322,Dark Waters,2019
0134119,The Talented Mr. Ripley,1999
9639470,Last Night in Soho,2021
0421715,The Curious Case of Benjamin Button,2008
1051906,The Invisible Man,2020
0167261,The Lord of the Rings: The Two Towers,2002
0316654,Spider-Man 2,2004
0372784,Batman Begins,2005
0330373,Harry Potter and the Goblet of Fire,2005
1843866,Captain America: The Winter Soldier,2014
1951264,The Hunger Games: Catching Fire,2013
4263482,The Witch,2015
0295297,Harry Potter and the Chamber of Secrets,2002
0482571,The Prestige,2006
1727824,Bohemian Rhapsody,2018
0110357,The Lion King,1994
1201607,Harry Potter and the Deathly Hallows: Part 2,2011
0086190,Star Wars: Episode VI - Return of the Jedi,1983
2395427,Avengers: Age of Ultron,2015
0121766,Star Wars: Episode III - Revenge of the Sith,2005
0470752,Ex Machina,2014
0407887,The Departed,2006
0073195,Jaws,1975
3659388,The Martian,2015
0373889,Harry Potter and the Order of the Phoenix,2007
2527336,Star Wars: Episode VIII - The Last Jedi,2017
0398286,Tangled,2010
2953050,Encanto,2021
4972582,Split,2016
4154664,Captain Marvel,2019
3783958,La La Land,2016
1041829,The Proposal,2009
0195685,Erin Brockovich,2000
0458352,The Devil Wears Prada,2006
3748528,Rogue One,2016
0417741,Harry Potter and the Half-Blood Prince,2009
0298148,Shrek 2,2004
0926084,Harry Potter and the Deathly Hallows: Part 1,2010
0795421,Mamma Mia!,2008
0478970,Ant-Man,2015
7349662,BlacKkKlansman,2018
3315342,Logan,2017
0084787,The Thing,1982
0458339,Captain America: The First Avenger,2011
0120815,Saving Private Ryan,1998
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003
0948470,The Amazing Spider-Man,2012
0120915,Star Wars: Episode I - The Phantom Menace,1999
10370710,The Worst Person in the World,2021
0082971,Raiders of the Lost Ark,1981
2527338,Star Wars: Episode IX - The Rise of Skywalker,2019
2948356,Zootopia,2016
1300854,Iron Man 3,2013
1386697,Suicide Squad,2016
0121765,Star Wars: Episode II - Attack of the Clones,2002
0800369,Thor,2011
1228705,Iron Man 2,2010
3521164,Moana,2016
0077651,Halloween,1978
0172495,Gladiator,2000
0413300,Spider-Man 3,2007
2802144,Kingsman: The Secret Service,2014
2294629,Frozen,2013
1136617,The Killer,2023
1951265,The Hunger Games: Mockingjay - Part 1,2014
1457767,The Conjuring,2013
1016150,All Quiet on the Western Front,2022
0365748,Shaun of the Dead,2004
1119646,The Hangover,2009
0250494,Legally Blonde,2001
0240772,Ocean's Eleven,2001
0451279,Wonder Woman,2017
1517451,A Star Is Born,2018
0070047,The Exorcist,1973
0167404,The Sixth Sense,1999
2798920,Annihilation,2018
1596363,The Big Short,2015
0097814,Kiki's Delivery Service,1989
2084970,The Imitation Game,2014
1270797,Venom,2018
0113277,Heat,1995
1951266,The Hunger Games: Mockingjay - Part 2,2015
0441773,Kung Fu Panda,2008
1872181,The Amazing Spider-Man 2,2014
4425200,John Wick: Chapter 2,2017
1677720,Ready Player One,2018
0092099,Top Gun,1986
1981115,Thor: The Dark World,2013
7349950,It: Chapter Two,2019
1490017,The Lego Movie,2014
1156398,Zombieland,2009
17663992,Scream VI,2023
0314331,Love Actually,2003
15474916,Smile,2022
0425112,Hot Fuzz,2007
3170832,Room,2015
1950186,Ford v Ferrari,2019
8332922,A Quiet Place Part II,2020
1981677,Pitch Perfect,2012
3183660,Fantastic Beasts and Where to Find Them,2016
9603212,Mission: Impossible - Dead Reckoning Part One,2023
3235888,It Follows,2014
0369610,Jurassic World,2015
1772341,Wreck-It Ralph,2012
0087332,Ghostbusters,1984
1259521,The Cabin in the Woods,2011
5164214,Ocean's Eight,2018
0454876,Life of Pi,2012
0077631,Grease,1978
0383574,Pirates of the Caribbean: Dead Man's Chest,2006
0097576,Indiana Jones and the Last Crusade,1989
1670345,Now You See Me,2013
2975590,Batman v Superman: Dawn of Justice,2016
0903624,The Hobbit: An Unexpected Journey,2012
1001526,Megamind,2010
1877832,X-Men: Days of Future Past,2014
1323594,Despicable Me,2010
1477834,Aquaman,2018
0448115,Shazam!,2019
0120917,The Emperor's New Groove,2000
0087469,Indiana Jones and the Temple of Doom,1984
2283362,Jumanji: Welcome to the Jungle,2017
4912910,Mission: Impossible - Fallout,2018
0104431,Home Alone 2: Lost in New York,1992
0268380,Ice Age,2002
0770828,Man of Steel,2013
1631867,Edge of Tomorrow,2014
1250777,Kick-Ass,2010
0071853,Monty Python and the Holy Grail,1975
1790864,The Maze Runner,2014
1895587,Spotlight,2015
2321549,The Babadook,2014
10954652,Old,2021
0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
1210166,Moneyball,2011
0351283,Madagascar,2005
0780536,In Bruges,2008
0758758,Into the Wild,2007
1179933,10 Cloverfield Lane,2016
0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
1637725,Ted,2012
0129167,The Iron Giant,1999
2980516,The Theory of Everything,2014
0117060,Mission: Impossible,1996
0816711,World War Z,2013
0032138,The Wizard of Oz,1939
1270798,X-Men: First Class,2011
0449088,Pirates of the Caribbean: At World's End,2007
1170358,The Hobbit: The Desolation of Smaug,2013
0162222,Cast Away,2000
0457939,The Holiday,2006
0338348,The Polar Express,2004
0800080,The Incredible Hulk,2008
1298650,Pirates of the Caribbean: On Stranger Tides,2011
4123430,Fantastic Beasts: The Crimes of Grindelwald,2018
0360717,King Kong,2005
2310332,The Hobbit: The Battle of the Five Armies,2014
7905466,They Shall Not Grow Old,2018
8079248,Yesterday,2019
4881806,Jurassic World: Fallen Kingdom,2018
0119567,The Lost World: Jurassic Park,1997
0163025,Jurassic Park III,2001
0290334,X2,2003
0120903,X-Men,2000
1430132,The Wolverine,2013
5463162,Deadpool 2,2018
3385516,X-Men: Apocalypse,2016
0458525,X-Men Origins: Wolverine,2009
0120667,Fantastic Four,2005
0376994,X-Men: The Last Stand,2006
33398387,Fantastic Four: Rise of the Silver Surfer,2007
0974015,Justice League,2017
0349903,Ocean's Twelve,2004
0496806,Ocean's Thirteen,2007
1389072,Downsizing,2017
1402488,Happy Feet Two,2011
0258463,The Bourne Identity,2002
0034492,Bambi,1942
0061852,The Jungle Book,1967
0780521,The Princess and the Frog,2009
0120855,Tarzan,1999
0371606,Chicken Little,2005
1302011,Kung Fu Panda 2,2011
0120794,The Prince of Egypt,1998
2267968,Kung Fu Panda 3,2016
0165982,Sinbad: Legend of the Seven Seas,2003
0307453,Shark Tale,2004
0070832,Three Wishes for Cinderella,1973
4080728,A Man Called Ove,2015
1703824,Kong Curling,2011
1245891,Kurt Turns Evil,2008
1596343,Fast Five,2011
0463985,The Fast and the Furious: Tokyo Drift,2006
1905041,Furious 6,2013
2820852,Furious 7,2015
0232500,The Fast and the Furious,2001
1013752,Fast & Furious,2009
0322259,2 Fast 2 Furious,2003
4630562,The Fate of the Furious,2017
1229238,Mission: Impossible - Ghost Protocol,2011
2381249,Mission: Impossible - Rogue Nation,2015
0317919,Mission: Impossible III,2006
0120755,Mission: Impossible II,2000
8936646,Extraction,2020
0409459,Watchmen,2009
0268978,A Beautiful Mind,2001
4649466,Kingsman: The Golden Circle,2017
1675434,The Intouchables,2011
0405094,The Lives of Others,2006
1318514,Rise of the Planet of the Apes,2011
5606664,Doctor Sleep,2019
0080339,Airplane!,1980
3065204,The Conjuring 2,2016
2674426,Me Before You,2016
0181689,Minority Report,2002
1663662,Pacific Rim,2013
1723121,We're the Millers,2013
8503618,Hamilton,2020
3731562,Kong: Skull Island,2017
0914798,The Boy in the Striped Pyjamas,2008
1276104,Looper,2012
0175142,Scary Movie,2000
6823368,Glass,2019
0475293,High School Musical,2006
0418279,Transformers,2007
0080761,Friday the 13th,1980
1502407,Halloween,2018
0110148,Interview with the Vampire,1994
1922777,Sinister,2012
7069210,The Conjuring: The Devil Made Me Do It,2021
4160708,Don't Breathe,2016
1213641,First Man,2018
9701940,Fear Street: Part Two - 1978,2021
0462538,The Simpsons Movie,2007
1213663,The World's End,2013
0831387,Godzilla,2014
1560220,Zombieland: Double Tap,2019
0079470,Life of Brian,1979
1700841,Sausage Party,2016
2428170,Creep,2014
1542344,127 Hours,2010
3110958,Now You See Me 2,2016
0084516,Poltergeist,1982
2788710,The Interview,2014
3741834,Lion,2016
10665338,Halloween Kills,2021
3741700,Godzilla: King of the Monsters,2019
9701942,Fear Street: Part Three - 1666,2021
7975244,Jumanji: The Next Level,2019
10304142,Amsterdam,2022
4779682,The Meg,2018
0810900,High School Musical 2,2007
0382625,The Da Vinci Code,2006
2870612,"As Above, So Below",2014
1598778,Contagion,2011
0119177,Gattaca,1997
0109686,Dumb and Dumber,1994
8633478,Run,2020
0438097,Ice Age: The Meltdown,2006
1080016,Ice Age: Dawn of the Dinosaurs,2009
1667889,Ice Age: Continental Drift,2012
0405422,The 40 Year-Old Virgin,2005
0829482,Superbad,2007
0147800,10 Things I Hate About You,1999
12361974,Zack Snyder's Justice League,2021
0106977,The Fugitive,1993
1478338,Bridesmaids,2011
2004420,Neighbors,2014
1022603,(500) Days of Summer,2009
0947798,Black Swan,2010
0936501,Taken,2008
15791034,Barbarian,2022
0388795,Brokeback Mountain,2005
5886046,Escape Room,2019
11245972,Scream,2022
4361050,Ouija: Origin of Evil,2016
1204977,Ouija,2014
5022702,Hush,2016
8110652,Bodies Bodies Bodies,2022
6166392,Wonka,2023
5734576,The Possession of Hannah Grace,2018
0963794,The Ruins,2008
26736843,The Watchers,2024
12873562,The Invitation,2022
4273800,The Good Nurse,2022
1099212,Twilight,2008
1259571,The Twilight Saga: New Moon,2009
16426418,Challengers,2024
9421570,The Guilty,2021
0319262,The Day After Tomorrow,2004
5442430,Life,2017
2719848,Everest,2015
0450259,Blood Diamond,2006
0362227,The Terminal,2004
0112384,Apollo 13,1995
12584954,Twisters,2024
23468450,Longlegs,2024
13345606,Evil Dead Rise,2023
0335266,Lost in Translation,2003
10655524,It Ends with Us,2024
0068646,The Godfather,1972
0120783,The Parent Trap,1998
0082495,Halloween II,1981
13318942,Dark Windows,2023
5638642,The Ritual,2017
0185937,The Blair Witch Project,1999
6772950,Truth or Dare,2018
9224104,Meg 2: The Trench,2023
0072271,The Texas Chain Saw Massacre,1974
10691162,Aftermath,2021
5814060,The Nun,2018
1853739,You're Next,2011
5140878,Annabelle: Creation,2017
8350360,Annabelle Comes Home,2019
3322940,Annabelle,2014
28015403,Heretic,2024
1325004,The Twilight Saga: Eclipse,2010
3281548,Little Women,2019
0119174,The Game,1997
26629652,Loveable,2024
29268110,Smile 2,2024
8721424,"tick, tick... BOOM!",2021
9218128,Gladiator II,2024
7775622,Free Solo,2018
0073000,The Pinchcliffe Grand Prix,1975
11092178,The Snow Sister,2024
20215234,Conclave,2024
1262426,Wicked,2024
1985949,The Angry Birds Movie,2016
1063669,The Wave,2008
12004038,Watcher,2022
5672290,The First Omen,2024
17526714,The Substance,2024
7798634,Ready or Not,2019
0103772,Basic Instinct,1992
5040012,Nosferatu,2024
10288566,Another Round,2020
2194499,About Time,2013
1815862,After Earth,2013
27131358,We Live in Time,2024
30057084,Babygirl,2024
0401729,John Carter,2012
1186025,SOS: Summer of Suspense,2008
1087873,The Ten Lives of Titanic the Cat,2007
1148204,Orphan,2009
0251127,How to Lose a Guy in 10 Days,2003
2872732,Lucy,2014
3040964,The Jungle Book,2016
1570728,"Crazy, Stupid, Love.",2011
8760708,M3GAN,2022
0465538,Michael Clayton,2007
4846340,Hidden Figures,2016
4016934,The Handmaiden,2016
2085910,Room 237,2012
26584495,Companion,2025
0337741,Something's Gotta Give,2003
32149847,Drop,2025
5774060,Underwater,2020
9603208,Mission: Impossible - The Final Reckoning,2025
0414387,Pride & Prejudice,2005
2179136,American Sniper,2014
0079116,Escape from Alcatraz,1979
12299608,Mickey 17,2025
27403986,Juror #2,2024
0104257,A Few Good Men,1992
1591095,Insidious,2010
0357413,Anchorman: The Legend of Ron Burgundy,2004
7711170,Alone,2020
16311594,F1,2025
0120663,Eyes Wide Shut,1999
11320192,The Evil Next Door,2020
0120082,Scream 2,1997
26753003,Trap,2024
1736633,"Oslo, August 31st",2011
0134084,Scream 3,2000
0448134,Sunshine,2007
9783600,Spiderhead,2022
1262416,Scream 4,2011
4589218,Five Nights at Freddy's,2023
0206634,Children of Men,2006
0196229,Zoolander,2001
0106918,The Firm,1993
2278388,The Grand Budapest Hotel,2014
26581740,Weapons,2025
0112471,Before Sunrise,1995
0952640,Alvin and the Chipmunks,2007
0490086,Big Stan,2007
22898462,The Conjuring: Last Rites,2025
0117008,Matilda,1996
27714581,Sentimental Value,2025
11116912,Troll,2022
3616916,The Wave,2015
1613750,Kon-Tiki,2012
3300980,The 12th Man,2017
2363213,Ragnarok: The Viking Apocalypse,2013
5471480,Magnus,2016
0050762,Ni Liv,1957
2486904,North of the Sun,2012
0075128,Journey to the Christmas Star,1976
